EmbeddingSimilarity,nll-test,
1,-0.20176211552401652,1.069172,
6,-0.17717049711148916,1.0354918,
11,-0.17987912446949111,0.95774794,
16,-0.17610751574804714,0.8427614,
21,-0.1547588045935277,0.69562656,
26,-0.18175463837115596,0.61848974,
31,-0.14599037003414037,0.5303502,
36,-0.11682751766684997,0.5133874,
41,-0.13251811851664144,0.48732373,
46,-0.1402152378153423,0.5000574,
51,-0.15232875607174734,0.5659047,
56,-0.14105528796105732,0.4287829,
61,-0.2120522478388902,0.45223138,
66,-0.12387342157870054,0.41583863,
71,-0.18191940006648805,0.4199096,
76,-0.14599518850054788,0.3958067,
81,-0.16278526710930039,0.42090258,
86,-0.09812394142369334,0.39613143,
91,-0.20947527945761416,0.43934438,
96,-0.11889083470543982,0.41455844,
101,-0.2055352250758956,0.45222306,
106,-0.08488542142179872,0.37914485,
111,-0.10936987265846183,0.37803215,
116,-0.17148809287104552,0.37283078,
121,-0.09855042054901715,0.37015936,
126,-0.14236551646005918,0.45164892,
131,-0.12838434788780684,0.39221415,
136,-0.14980425153536425,0.4082813,
141,-0.10871089810963673,0.36456,
146,-0.14206971632952525,0.36450714,
151,-0.14373542596636954,0.34561825,
156,-0.1835389414598574,0.6723929,
161,-0.122851758662398,0.45801598,
166,-0.16057441162965522,0.39218074,
171,-0.14855102510145302,0.39096367,
176,-0.1359360749728961,0.42166615,
181,-0.09174745650345736,0.4137143,
186,-0.11474332696723571,0.4351347,
191,-0.20169857951443665,0.3859136,
196,-0.13265727766808294,0.3608529,
201,-0.12246790469256529,0.35930663,
206,-0.16820877382385432,0.4135117,
211,-0.15164220828424482,0.4693985,
216,-0.15912494569200228,0.42550954,
221,-0.19793995439522,0.4133149,
226,-0.1433510900063284,0.3621097,
231,-0.14545836711649204,0.3792446,
236,-0.1409249961110953,0.3706402,
241,-0.15070491566728716,0.3559186,
246,-0.14883524679755827,0.42618987,
251,-0.14976242387721772,0.3741344,
256,-0.1677015904622224,0.40694958,
261,-0.13534524771804107,0.43513316,
266,-0.14792208998229509,0.37994573,
271,-0.17323508199615914,0.3620316,
276,-0.1505354697798229,0.5218864,
281,-0.17397906740836225,0.4450508,
286,-0.1289261502053463,0.41093332,
291,-0.14428583615761434,0.38946447,
296,-0.15592618765552826,0.36189324,
301,-0.1978209648147602,0.38922808,
306,-0.1321590540100099,0.46653634,
311,-0.14863813287121902,0.4502987,
316,-0.15779595079549896,0.3858969,
321,-0.17915884427366413,0.37853262,
326,-0.11366486458960078,0.4647774,
331,-0.1176364160093957,0.43849498,
336,-0.16476590227278196,0.6085168,
341,-0.15241618370761945,0.49638873,
346,-0.19563212788323675,0.4762357,
351,-0.14516620306714462,0.43806085,
356,-0.12190184166939917,0.4690594,
361,-0.16425117802647415,0.46578023,
366,-0.13023414547724435,0.4263402,
371,-0.14659158745269624,0.42809755,
376,-0.13305599775306337,0.53774667,
381,-0.11128053403205158,0.50769496,
386,-0.17412523062325025,0.43153098,
391,-0.15877490014689155,0.43007508,
396,-0.1815681347157644,0.4017017,
401,-0.18031483475478283,0.42608303,
406,-0.15752340293886832,0.44211426,
411,-0.14871887805935255,0.4092421,
416,-0.10532306532932255,0.43234697,
421,-0.17806592903971086,0.40472123,
426,-0.17980861602969936,0.41536233,
431,-0.14868025337511862,0.41535476,
436,-0.14848169761706523,0.4021925,
441,-0.20093481578724537,0.4679646,
446,-0.14609194954906538,0.56946427,
451,-0.1653740394635994,0.5051164,
456,-0.16619117525442204,0.51044184,
461,-0.1498458456348121,0.47963172,
466,-0.12532695799709448,0.50048447,
471,-0.1881140730806076,0.46252233,
476,-0.18817639094331262,0.47112805,
481,-0.18754265094706804,0.48824874,
486,-0.182240289298102,0.5041791,
491,-0.12547516616799667,0.47525388,
496,-0.18030871828562386,0.48500392,
501,-0.1759264872995978,0.4321307,
506,-0.16108865759555463,0.4507694,
511,-0.2040638862084344,0.4555926,
516,-0.10659811693749639,0.47787717,
521,-0.1211721079601366,0.4819841,
526,-0.14359939155607077,0.5135141,
531,-0.11894487229925825,0.49427703,
536,-0.15826025455522522,0.4689129,
541,-0.1362329150009757,0.4710146,
546,-0.11450360371852039,0.4500536,
551,-0.155534378067433,0.43583277,
556,-0.11270425574343004,0.51727724,
561,-0.09938239411481714,0.44780242,
566,-0.14169165782141063,0.4798777,
571,-0.160600226559926,0.527414,
576,-0.13185342926453344,0.5162978,
581,-0.1377684929306808,0.45261395,
586,-0.15632567850486404,0.46468702,
591,-0.12158305518944253,0.4736686,
596,-0.18150107669292814,0.50729966,
601,-0.12390198225634876,0.46655995,
606,-0.14549442648485345,0.50818217,
611,-0.1532271982862155,0.5426446,
616,-0.1562682679101211,0.5120053,
621,-0.1399918916502249,0.4782082,
626,-0.14258961967409553,0.53724533,
631,-0.1694098298548159,0.5272334,
636,-0.1395076904859406,0.5257945,
641,-0.15884301709956475,0.52651227,
646,-0.19410764720318183,0.54756635,
651,-0.12339870117241546,0.49485087,
656,-0.1955130988665593,0.4700037,
661,-0.2182660269387066,0.5097819,
666,-0.21791275629268514,0.5337603,
671,-0.18332687518626276,0.63262594,
676,-0.17400393332463104,0.6306468,
681,-0.15544404340047382,0.60815805,
686,-0.161422535745233,0.54353696,
691,-0.13984025400770905,0.57578737,
696,-0.14063285901189046,0.5164402,
701,-0.10388858992353031,0.49720976,
706,-0.23251229464463577,0.565051,
711,-0.15967454639605563,0.54846334,
716,-0.19189563914161356,0.5137936,
721,-0.21568945362527278,0.5366994,
726,-0.15992964880297886,0.53307194,
731,-0.19528364078874041,0.5203636,
736,-0.13031281560340088,0.6455555,
741,-0.14774017622263652,0.5672341,
746,-0.14075946580975698,0.5350652,
751,-0.16188810443362425,0.5217591,
756,-0.18061203816501661,0.4993958,
761,-0.14141744885336455,0.527129,
766,-0.16102140644225565,0.51933324,
771,-0.1283844000721292,0.51628095,
776,-0.1671181613676216,0.5608183,
781,-0.184848996482084,0.5730149,
786,-0.167906789474264,0.56406844,
791,-0.14613525533481195,0.5852062,
796,-0.1750172559013844,0.6477914,
801,-0.12675114851056776,0.5843073,
806,-0.19373369033303342,0.5393963,
811,-0.16103856518644236,0.5410891,
816,-0.1904939195868069,0.5132608,
821,-0.14078570442885913,0.51579744,
826,-0.1661625210592234,0.5523222,
831,-0.2213272922780976,0.588221,
836,-0.1525919929989278,0.5818414,
841,-0.24919616000153602,0.64149714,
846,-0.17276530675724763,0.6762403,
851,-0.16450439020211502,0.631122,
856,-0.15445394602319246,0.6150701,
861,-0.18699196678801666,0.60001737,
866,-0.1033399946074991,0.62098944,
871,-0.17580332782596383,0.6020451,
876,-0.1470164960410602,0.61960214,
881,-0.15587509342935607,0.63560957,
886,-0.15990471538881018,0.59120566,
891,-0.21439615765872388,0.59863836,
896,-0.1899114829904736,0.5897384,
901,-0.1859148902332557,0.60086066,
906,-0.16176801653506018,0.65610784,
911,-0.15971264702948423,0.6481036,
916,-0.10645510369306876,0.6160658,
921,-0.15336224759334993,0.63915586,
926,-0.1816072222683129,0.5982915,
931,-0.11661100247439296,0.5757715,
936,-0.14188178537190485,0.5774556,
941,-0.16697515457564008,0.54133135,
946,-0.15087966704324307,0.5571006,
951,-0.20077541174391403,0.57362604,
956,-0.17791427131451734,0.5566095,
961,-0.13403321084467162,0.59699595,
966,-0.17417298007429588,0.6067216,
971,-0.1334019383209762,0.6184972,
976,-0.20675520092291108,0.59761643,
981,-0.1534412960660126,0.60991156,
986,-0.1447907695692275,0.5891012,
991,-0.18077220638017022,0.5851998,
996,-0.1381912216090826,0.64401466,
1001,-0.15752213801000384,0.59745806,
1006,-0.17037389585371523,0.5838023,
1011,-0.13933287007685272,0.55762595,
1016,-0.14041400131788864,0.5600755,
1021,-0.17544830712012643,0.61510724,
1026,-0.180919103693039,0.60460687,
1031,-0.15388080252910483,0.59386647,
1036,-0.1676954396076762,0.59013194,
1041,-0.15507889703355637,0.6500982,
1046,-0.1595786926577978,0.65116763,
1051,-0.14232240530864926,0.6325319,
1056,-0.2067033149190743,0.61568105,
1061,-0.15398839615247223,0.60859203,
1066,-0.1677104074737719,0.58893317,
1071,-0.150591816245204,0.59121734,
1076,-0.1597073748093062,0.56981516,
1081,-0.15399494635071231,0.57736087,
1086,-0.1446896203253402,0.5786824,
1091,-0.16772217646357981,0.62996733,
1096,-0.12147646836186976,0.6030278,
1101,-0.16957917257281183,0.57252747,
1106,-0.14551850994831683,0.5900927,
1111,-0.22082289753737258,0.5851336,
1116,-0.14332192339724617,0.5942722,
1121,-0.14609841796323148,0.5879362,
1126,-0.10610513001416001,0.5582141,
1131,-0.08096052871083272,0.55495834,
1136,-0.11801897674338319,0.6076102,
1141,-0.1483028455564176,0.5872907,
1146,-0.10672361900237019,0.571385,
1151,-0.16286267867809512,0.57820815,
1156,-0.12918120245969544,0.58061564,
1161,-0.1356025778820103,0.5724117,
1166,-0.11931984858554787,0.5856868,
1171,-0.16323003972601477,0.592581,
1176,-0.10610985616899866,0.61852044,
1181,-0.19323611337247876,0.6151065,
1186,-0.1669904018272179,0.6133667,
1191,-0.1526421137972116,0.6016149,
1196,-0.16111017041100292,0.5915516,
1201,-0.09522158016040957,0.575491,
1206,-0.15756014328915885,0.55181116,
1211,-0.15385713624654448,0.595187,
1216,-0.1565251256759991,0.56899244,
1221,-0.1610407405510668,0.54459685,
1226,-0.1250494736402122,0.559619,
1231,-0.15701950887763796,0.5406105,
1236,-0.141247323012904,0.55292726,
1241,-0.11706468043050479,0.56694144,
1246,-0.12062078422942926,0.58591133,
1251,-0.17230537331888732,0.5802162,
1256,-0.17024188046582464,0.5734636,
1261,-0.12728316005633342,0.5887355,
1266,-0.15973953260859222,0.56568605,
1271,-0.12607982097589604,0.57504463,
1276,-0.18964428211163653,0.6047459,
1281,-0.1513356410226607,0.58738613,
1286,-0.17653956352795824,0.6095295,
1291,-0.16244001122497786,0.58353734,
1296,-0.1343509198030329,0.59376323,
1301,-0.18046636248907666,0.61895144,
1306,-0.16076346939620892,0.61511576,
1311,-0.12983093807663157,0.61158746,
1316,-0.12702023739807755,0.58818126,
1321,-0.19309906311514477,0.6083359,
1326,-0.13334517440626964,0.5926224,
1331,-0.13076117357943473,0.67639947,
1336,-0.13152331419726276,0.6362471,
1341,-0.131440763311116,0.61257005,
1346,-0.13211622482223798,0.60865057,
1351,-0.16675948802544732,0.5846354,
1356,-0.17187441975428552,0.56012917,
1361,-0.1680855342745196,0.5784496,
1366,-0.16660489819298452,0.5693513,
1371,-0.17140096602474705,0.5804841,
1376,-0.09624670004480265,0.58512926,
1381,-0.17556525774151832,0.5819456,
1386,-0.1617723182345645,0.63746375,
1391,-0.15412006487621763,0.5997773,
1396,-0.1790396319710693,0.59478456,
1401,-0.13400496288862207,0.6494411,
1406,-0.19257924295020862,0.6305202,
1411,-0.15387370066429615,0.6388115,
1416,-0.19350995973144966,0.62326,
1421,-0.17006638187709733,0.64504427,
1426,-0.1327341390493494,0.6151315,
1431,-0.19610911936397585,0.60930884,
1436,-0.1741708828924512,0.61603975,
1441,-0.10479428745570783,0.60763705,
1446,-0.11891375943982387,0.60967845,
1451,-0.1172783699602341,0.6246468,
1456,-0.1412792714089864,0.61221033,
1461,-0.13334491048723063,0.60354227,
1466,-0.11936952687422904,0.6248754,
1471,-0.11266687609847428,0.6644807,
1476,-0.17521360905154268,0.63694465,
1481,-0.16910872892412454,0.64651287,
1486,-0.13412859431281457,0.6165561,
1491,-0.17354944232173547,0.6529248,
1496,-0.11639855472994755,0.64550364,
EmbeddingSimilarity,nll-test,
1,-0.1747205943189072,0.62072176,
6,-0.24104634859781252,0.6316365,
11,-0.17276351498923498,0.639909,
16,-0.1933722876743064,0.6455148,
21,-0.17047179821543262,0.65684754,
26,-0.17537086793215562,0.66436327,
31,-0.19351772004884107,0.6703323,
36,-0.21469507606803565,0.6730415,
41,-0.13304463935051586,0.67760783,
46,-0.15731094655534703,0.6799195,
51,-0.07451196481452527,0.6851601,
56,-0.1511258229001477,0.6871701,
61,-0.1322106792346521,0.6907361,
66,-0.11074599375679381,0.69119364,
71,-0.1383978896855168,0.690765,
76,-0.1162880390521736,0.6926873,
81,-0.1382734641847543,0.6956049,
86,-0.10189276473003546,0.70416594,
91,-0.1437912394278125,0.71103203,
96,-0.12469081980683916,0.71676046,
101,-0.18627473866045535,0.72060907,
106,-0.14343134429880006,0.73042876,
111,-0.12995584834553908,0.73746383,
116,-0.10328658347682597,0.741279,
121,-0.12852994914806337,0.7453033,
126,-0.143236091310129,0.74969417,
131,-0.09947436808910004,0.7550144,
