EmbeddingSimilarity,nll-test,
1,-0.09241886071955421,0.6756098,
6,-0.09868045710020386,0.64827794,
11,-0.05446695455152428,0.6291253,
16,-0.04430904041161264,0.60935986,
21,-0.07703411314183012,0.5780996,
26,-0.10548222364712073,0.5438365,
31,-0.07633809962544091,0.52666384,
36,-0.11729763193244568,0.49548566,
41,-0.08917994648188009,0.47964677,
46,-0.10160028224235239,0.4846867,
51,-0.10614708883065457,0.4563146,
56,-0.1308881187511536,0.4457414,
61,-0.08458666428559691,0.43903464,
66,-0.14557144035916342,0.43079713,
71,-0.09840097371307253,0.42975155,
76,-0.11525753075149256,0.42352575,
81,-0.16082027775326824,0.42004132,
86,-0.13089812620442653,0.41392943,
91,-0.09303371911748863,0.41216856,
96,-0.13036988351099457,0.44083267,
101,-0.13103559456489924,0.4065127,
106,-0.1338239059355705,0.4225823,
111,-0.11375372463330347,0.42166537,
116,-0.11957129684451574,0.39744392,
121,-0.10804163462373818,0.41720495,
126,-0.08940109461941226,0.40307745,
131,-0.1288576043206195,0.4019472,
136,-0.11908705307064081,0.4031789,
141,-0.1119713931683333,0.39723468,
146,-0.12006997178606368,0.40945193,
151,-0.08903424516192007,0.40349013,
156,-0.0823362652969024,0.40467063,
161,-0.08002036808746386,0.41701967,
166,-0.10150506099185755,0.39049324,
171,-0.11430653152736119,0.40429437,
176,-0.11173784856498807,0.42734233,
181,-0.11205602065982516,0.41749772,
186,-0.09093915926674745,0.3910843,
191,-0.10998007677624544,0.43744582,
196,-0.0764026490920982,0.40320697,
201,-0.1149423682926324,0.4048367,
206,-0.12879107152154073,0.40458184,
211,-0.1050557439931085,0.40677541,
216,-0.15434379946627005,0.41079134,
221,-0.10265839171634657,0.38777184,
226,-0.07861458375949276,0.4031653,
231,-0.12572112814756567,0.4158579,
236,-0.14944753924806084,0.39218652,
241,-0.11131958406130037,0.39574343,
246,-0.07428510653499197,0.41093618,
251,-0.15811262771455512,0.38754463,
256,-0.10002546438847906,0.3931538,
261,-0.15008342501899513,0.38269478,
266,-0.11708071281990846,0.4471197,
271,-0.1674329383589665,0.38979957,
276,-0.12175889072543755,0.39334792,
281,-0.1282866698275062,0.4896776,
286,-0.10943749202393169,0.41029325,
291,-0.10468788766082796,0.39054888,
296,-0.1333129950605376,0.39144388,
301,-0.07016209430950522,0.38863578,
306,-0.13890330858121555,0.38274437,
311,-0.131962243080458,0.39134657,
316,-0.1273527246764512,0.3867291,
321,-0.07471994040082156,0.53470075,
326,-0.12471686425794351,0.4494406,
331,-0.15790477953392895,0.42998296,
336,-0.08097029150567438,0.43788588,
341,-0.18247881660804957,0.421284,
346,-0.13509167368660707,0.42580068,
351,-0.0655435631132224,0.41100025,
356,-0.1407200213735133,0.4409682,
361,-0.09139125614836485,0.39843896,
366,-0.08929440929289603,0.44091314,
371,-0.13903850366809034,0.43052888,
376,-0.09058824498020121,0.46822685,
381,-0.08126404215392892,0.4085801,
386,-0.10152832882895955,0.39226782,
391,-0.06842212666064361,0.4065628,
396,-0.11089336785202573,0.39267308,
401,-0.068974827303791,0.4750324,
406,-0.09048788323209221,0.41685948,
411,-0.11021219400777775,0.4051579,
416,-0.07700481148249161,0.43180525,
421,-0.15544504310745014,0.40831116,
426,-0.10828065636048965,0.42363045,
431,-0.1306637639070477,0.4351745,
436,-0.1229970799375495,0.4312112,
441,-0.13037809659505226,0.45642072,
446,-0.062085541973027285,0.43499234,
451,-0.12046961137605823,0.42515877,
456,-0.09608060367643118,0.42137712,
461,-0.1075578009446607,0.39359188,
466,-0.09930067208778647,0.4859093,
471,-0.12358888146759968,0.46201143,
476,-0.15264755845974554,0.43196252,
481,-0.08684895890171442,0.41474274,
486,-0.10614892327865019,0.4251936,
491,-0.1427810758462703,0.4121131,
496,-0.1339385883041784,0.44353876,
501,-0.05795066451835168,0.52268624,
506,-0.1191348316275749,0.4840157,
511,-0.11518096713356558,0.4966479,
516,-0.11287330962473094,0.47799942,
521,-0.10409197738506967,0.43801913,
526,-0.11711986416505221,0.4620154,
531,-0.1532019468289147,0.44213414,
536,-0.08712743117699182,0.44217977,
541,-0.13997688450470386,0.42989504,
546,-0.08540878478016792,0.42423147,
551,-0.08486721418265848,0.40754545,
556,-0.15629840984476326,0.41673198,
561,-0.08676488303939749,0.45968747,
566,-0.08646871604664687,0.42455265,
571,-0.08873308174444089,0.41963118,
576,-0.1346933049582298,0.5325671,
581,-0.08161035795659613,0.5630683,
586,-0.0969368640587387,0.52741957,
591,-0.08644219805845893,0.4987768,
596,-0.057705106858873464,0.49028042,
EmbeddingSimilarity,nll-test,
1,-0.12276053686334681,0.483694,
6,-0.10350103945079983,0.49490955,
11,-0.13443723603270294,0.5015214,
16,-0.1298291927991504,0.5094058,
21,-0.12535376612572224,0.5171935,
26,-0.104081236644966,0.52254933,
31,-0.09856571885673088,0.52682984,
36,-0.10834395373160303,0.5302622,
41,-0.10585699650943088,0.5356818,
46,-0.13461323742115752,0.5388942,
51,-0.09597008562589504,0.5411574,
56,-0.12846558907629216,0.5434139,
61,-0.13333373806168233,0.5457278,
66,-0.13962948901016475,0.5488496,
71,-0.19370946817591092,0.5529872,
76,-0.18079179243474794,0.55676204,
81,-0.19995051071811992,0.5592626,
86,-0.2159018439047911,0.5606325,
91,-0.1974213666422109,0.56232125,
96,-0.16817283725744908,0.5656432,
101,-0.25821145659838096,0.56783146,
106,-0.2463528459705059,0.5694258,
111,-0.2558267562191703,0.5693056,
116,-0.231385560230359,0.569326,
121,-0.1376457935574712,0.57194096,
126,-0.1666722216939958,0.5754956,
131,-0.21280515568858596,0.5799947,
136,-0.23590691319098284,0.5823211,
141,-0.1924036350658481,0.5849444,
146,-0.20227713099294084,0.5870458,
151,-0.09835972414232745,0.5914029,
156,-0.17889264591223067,0.5957902,
161,-0.12065205380081317,0.60118127,
166,-0.09830468211617774,0.607343,
171,-0.10753568339600146,0.6118052,
176,-0.13224677842322746,0.61763537,
