EmbeddingSimilarity,nll-test,
1,-0.3042023080031374,3.5348392,
6,-0.2201592531170952,3.6397495,
11,-0.08880272369865495,4.941277,
16,-0.043094996026708306,8.35977,
21,-0.045429866171537096,14.209551,
26,-0.08567485736574114,22.995455,
31,-0.05984141584356572,31.325,
36,-0.060634942652611296,37.38999,
41,-0.06521676887080657,41.277718,
46,-0.050886239102403606,43.331512,
51,-0.052951886529193436,44.333805,
56,-0.05340997976596273,44.758408,
61,-0.04054528489756579,44.98768,
66,-0.031071411896095625,45.113716,
71,-0.04285872227751004,45.16252,
76,-0.03609733911173742,45.178474,
81,-0.03558972992750641,45.218536,
86,-0.02958653608507666,45.23363,
91,-0.031504787237123764,45.261276,
96,-0.02998629763316838,45.27832,
100,-0.02973301299836504,45.284283,
