EmbeddingSimilarity,nll-test,
1,-0.4229835429145652,3.036541,
6,-1.2482845826673175,1.6683583,
11,-0.6427579418235242,1.3571893,
16,-0.6287377759521632,1.2695456,
21,-0.4848428414273462,1.2355108,
26,-0.39887934321566204,1.2201772,
31,-0.40127837050146975,1.2128199,
36,-0.30384920346899913,1.20812,
41,-0.35149005777875153,1.2036707,
46,-0.3081208777792206,1.1995605,
51,-0.35834307777147134,1.1956581,
56,-0.24577161710690898,1.191814,
61,-0.3490931585614615,1.1877384,
66,-0.34314658176298574,1.1831007,
71,-0.34384553525098643,1.1774395,
76,-0.266576619592693,1.1705619,
81,-0.2667948450559294,1.239265,
86,-0.31002259733956056,1.2455765,
91,-0.21803930531344964,1.2874382,
96,-0.21942631851049912,1.2439977,
101,-0.4159122794405308,1.2295873,
106,-0.23622256508964218,1.2310355,
111,-0.39837450513213435,1.2284968,
116,-0.32712042995119434,1.2214862,
121,-0.3389734952355347,1.2209251,
126,-0.3909497538900974,1.2398412,
131,-0.3080374107043005,1.2345188,
136,-0.35888027335623435,1.2210834,
141,-0.36200775287636483,1.2206416,
146,-0.32521313962654547,1.2253168,
151,-0.3658458447905289,1.2283244,
156,-0.2824430233925525,1.2341136,
161,-0.26705868453204373,1.2286327,
166,-0.3581568526149457,1.2484524,
171,-0.20684838420570112,1.273264,
176,-0.32021407141439073,1.2325668,
180,-0.1800424609310216,1.2408215,
