EmbeddingSimilarity,nll-test,
1,-0.27216242037258376,2.9512944,
6,-1.1696770083127348,1.6979347,
11,-0.47289239878385886,1.3631147,
16,-0.4058953955791032,1.2734008,
21,-0.4542653719797775,1.2345617,
26,-0.3499378288555792,1.2243532,
31,-0.3926355938387587,1.219419,
36,-0.4946726981515449,1.216295,
41,-0.431991268618045,1.2141708,
46,-0.5184589389138788,1.2123866,
51,-0.2950936185667792,1.2105796,
56,-0.2647787286735112,1.2086115,
61,-0.21771529889428767,1.2062008,
66,-0.298835359314224,1.2025274,
71,-0.4767305847219406,1.1959897,
76,-0.38817082521077506,1.1864309,
81,-0.38381733202417545,1.1846088,
86,-0.3769616063266524,1.2094808,
91,-0.3550952588048651,1.246657,
96,-0.23292017717747668,1.2438748,
101,-0.42552379064914786,1.2524629,
106,-0.20598786630501492,1.2649453,
111,-0.29516532547453933,1.2768064,
116,-0.34458370248049774,1.2828197,
121,-0.33588277267724315,1.2881598,
126,-0.335620187330546,1.3319046,
131,-0.3809346007334435,1.3277404,
136,-0.26794231923661055,1.3367047,
141,-0.4567400793091002,1.3342316,
146,-0.34766738969085204,1.3113276,
151,-0.35761510993766615,1.2938653,
156,-0.39133443388688144,1.2819653,
161,-0.24664026942382497,1.2680578,
166,-0.26958423795526304,1.2620755,
171,-0.26215643802937616,1.2620264,
176,-0.38375705670356003,1.2619182,
180,-0.3301913357659211,1.2603189,
