EmbeddingSimilarity,nll-test,
1,-0.03555152019928378,nan,
6,-0.035518946251080055,nan,
11,-0.03553061865280018,nan,
16,-0.03556253324670081,nan,
21,-0.035531587855496545,nan,
26,-0.035523244355294824,nan,
31,-0.03553786665579269,nan,
36,-0.035521980202580725,nan,
41,-0.035518791744857836,nan,
46,-0.035520617730997885,nan,
51,-0.03552192401810106,nan,
56,-0.03551990138167395,nan,
61,-0.035519550230476135,nan,
66,-0.03552995847249182,nan,
71,-0.03567085245808456,nan,
76,-0.03555595909806403,nan,
81,-0.03551967664487464,nan,
86,-0.03552193806422029,nan,
91,-0.03555461056705435,nan,
96,-0.035520533454545505,nan,
101,-0.035526376660652004,nan,
106,-0.035581230781799936,nan,
111,-0.035563488473159176,nan,
116,-0.03554189805864541,nan,
121,-0.03552077223786972,nan,
126,-0.035557490247724234,nan,
131,-0.03551862319267811,nan,
136,-0.03552026657922086,nan,
141,-0.035521193620526845,nan,
146,-0.03552242967867972,nan,
151,-0.035524213541534296,nan,
156,-0.03552206447931385,nan,
161,-0.03551997161194758,nan,
166,-0.035520027796174664,nan,
171,-0.035521783556933695,nan,
176,-0.03552082842220038,nan,
180,-0.03552018230283663,nan,
