ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
seq0,13.21,0.00,26.17,5.59,24.74,0.00,0.00,11.44,13.82,8.19,20.17,10.00,0.00,12.47,31.14,31.14,18.57,27.71,33.03,21.14
seq1,16.15,0.00,26.17,7.50,28.38,31.14,0.00,14.38,12.97,8.84,17.03,9.28,0.00,9.97,0.00,23.43,23.43,27.71,24.74,17.43
seq2,12.97,0.00,21.14,4.54,20.17,0.00,0.00,11.21,14.30,9.66,24.74,11.79,0.00,14.58,24.74,0.00,16.74,22.23,28.38,26.17
seq3,0.00,6.45,0.00,17.36,0.00,8.91,17.69,22.03,7.50,11.94,0.00,18.14,8.48,34.03,13.66,0.00,12.40,26.56,0.00,15.37
seq4,28.03,22.83,12.21,16.03,10.41,0.00,17.77,0.00,10.00,18.83,20.03,0.00,10.68,0.00,6.30,24.43,9.28,10.89,0.00,0.00
seq5,6.74,11.93,12.11,16.21,0.00,22.83,0.00,16.83,9.45,28.03,0.00,17.93,20.41,22.83,12.62,0.00,10.48,7.33,0.00,14.03
seq6,12.07,0.00,20.03,16.03,14.00,21.37,16.03,0.00,14.62,5.50,0.00,24.43,12.62,0.00,23.45,8.67,10.25,13.79,0.00,21.37
seq7,0.00,0.00,0.00,5.10,11.62,0.00,0.00,0.00,4.61,12.69,28.11,29.68,0.00,18.00,11.14,28.11,35.03,35.03,18.03,0.00
seq8,26.65,0.00,15.25,12.14,11.62,17.19,0.00,0.00,17.69,12.69,28.11,20.03,29.68,11.58,9.94,14.92,35.03,35.03,17.54,0.00
seq9,0.00,0.00,11.91,11.82,17.94,20.74,0.00,10.78,9.78,18.85,16.51,13.76,0.00,5.96,0.00,0.00,24.74,19.31,31.14,16.03
seq10,0.00,0.00,10.74,9.39,16.57,20.91,0.00,13.81,10.78,16.74,17.43,12.79,0.00,6.90,0.00,0.00,19.85,23.43,24.74,12.50
seq11,0.00,0.00,12.74,9.44,18.14,20.23,28.69,18.48,13.37,11.97,23.14,13.09,0.00,10.36,0.00,0.00,8.32,34.03,18.80,11.09
seq12,0.00,0.00,14.12,11.09,22.23,16.03,0.00,8.91,9.48,18.26,17.94,16.03,0.00,6.07,0.00,0.00,33.03,16.74,28.38,21.14
seq13,7.76,0.00,0.00,0.00,0.00,5.88,13.25,9.05,0.00,18.05,9.25,0.00,0.00,10.74,0.00,0.00,4.50,8.95,0.00,12.05
seq14,11.86,9.75,0.00,0.00,0.00,9.62,0.00,0.00,10.59,0.00,11.14,10.25,13.86,0.00,18.23,4.94,7.33,0.00,0.00,10.23
seq15,5.83,0.00,0.00,8.53,13.25,11.17,0.00,9.25,15.26,6.95,0.00,10.25,0.00,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq16,5.83,0.00,0.00,8.53,13.25,11.06,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,11.05,0.00,6.00,0.00
seq17,5.83,0.00,0.00,8.53,13.25,11.17,0.00,9.25,15.26,12.05,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq18,5.83,0.00,0.00,8.53,13.25,9.94,0.00,9.25,15.26,6.95,0.00,0.00,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq19,5.83,0.00,0.00,8.53,13.25,6.61,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,0.00,0.00,7.05,0.00,6.00,0.00
seq20,5.83,0.00,0.00,8.53,13.25,5.50,0.00,0.00,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq21,5.83,0.00,0.00,8.53,13.25,5.50,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,13.25,0.00,6.00,0.00
seq22,5.83,0.00,0.00,8.53,13.25,5.94,0.00,9.25,15.26,12.05,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq23,5.83,0.00,0.00,8.53,13.25,8.61,0.00,9.25,14.65,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq24,6.11,0.00,0.00,8.53,13.25,9.94,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq25,5.83,0.00,0.00,8.53,0.00,6.61,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq26,8.63,0.00,0.00,8.53,13.25,5.28,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq27,5.83,0.00,0.00,18.05,13.25,5.94,0.00,9.25,15.26,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
