ID,PAAC2_A,PAAC2_C,PAAC2_D,PAAC2_E,PAAC2_F,PAAC2_G,PAAC2_H,PAAC2_I,PAAC2_K,PAAC2_L,PAAC2_M,PAAC2_N,PAAC2_P,PAAC2_Q,PAAC2_R,PAAC2_S,PAAC2_T,PAAC2_V,PAAC2_W,PAAC2_Y,PAAC2_lam1,PAAC2_lam2
seq0,1.6796,0.0,0.8398,5.8785,0.8398,0.0,0.0,1.6796,2.5194,4.1989,0.8398,2.5194,0.0,3.3591,0.8398,0.8398,0.8398,0.8398,0.8398,0.8398,0.076,0.0843
seq1,1.6761,0.0,0.838,5.0282,1.6761,0.838,0.0,1.6761,1.6761,4.1902,0.838,3.3522,0.0,3.3522,0.0,0.838,0.838,0.838,0.838,0.838,0.078,0.084
seq2,1.651,0.0,0.8255,6.6042,0.8255,0.0,0.0,1.651,2.4766,3.3021,0.8255,1.651,0.0,4.1276,0.8255,0.0,0.8255,0.8255,1.651,0.8255,0.0798,0.0947
seq3,0.0,5.0337,0.0,0.8389,0.0,2.5168,0.8389,0.8389,5.8726,1.6779,0.0,0.8389,3.3558,0.8389,1.6779,0.0,1.6779,2.5168,0.0,1.6779,0.086,0.075
seq4,0.8334,0.8334,1.6669,0.8334,1.6669,0.0,0.8334,0.0,1.6669,0.8334,0.8334,0.0,2.5003,0.0,3.3338,0.8334,5.0007,3.3338,0.0,0.0,0.0826,0.084
seq5,3.3939,1.6969,2.5454,1.6969,0.0,0.8485,0.0,0.8485,1.6969,0.8485,0.0,1.6969,1.6969,0.8485,1.6969,0.0,1.6969,3.3939,0.0,0.8485,0.0847,0.0668
seq6,1.6774,0.0,0.8387,0.8387,1.6774,0.8387,0.8387,0.0,1.6774,4.1936,0.0,0.8387,1.6774,0.0,1.6774,3.3548,2.5161,1.6774,0.0,0.8387,0.0627,0.0986
seq7,0.0,0.0,0.0,7.0655,3.1402,0.0,0.0,0.0,7.8506,2.3552,0.7851,0.7851,0.0,0.7851,2.3552,0.7851,0.7851,0.7851,1.5701,0.0,0.0897,0.1253
seq8,0.7851,0.0,1.5702,1.5702,3.1405,1.5702,0.0,0.0,1.5702,2.3554,0.7851,1.5702,0.7851,3.9256,3.9256,1.5702,0.7851,0.7851,2.3554,0.0,0.10800000000000001,0.1069
seq9,0.0,0.0,1.6736,2.5104,0.8368,1.6736,0.0,3.3472,3.3472,1.6736,0.8368,2.5104,0.0,6.6945,0.0,0.0,0.8368,0.8368,0.8368,1.6736,0.0785,0.0847
seq10,0.0,0.0,1.6613,2.4919,0.8306,2.4919,0.0,4.1532,3.3225,1.6613,0.8306,2.4919,0.0,4.1532,0.0,0.0,1.6613,0.8306,0.8306,1.6613,0.0789,0.0905
seq11,0.0,0.0,1.6897,2.5345,0.8448,1.6897,0.8448,3.3794,1.6897,2.5345,0.8448,4.2242,0.0,3.3794,0.0,0.0,2.5345,0.8448,1.6897,1.6897,0.077,0.0781
seq12,0.0,0.0,2.4416,2.4416,0.8139,1.6277,0.0,3.2555,4.0693,1.6277,0.8139,1.6277,0.0,5.6971,0.0,0.0,0.8139,0.8139,1.6277,0.8139,0.0905,0.0956
seq13,3.7276,0.0,0.0,0.0,0.0,3.7276,0.9319,0.9319,0.0,0.9319,0.9319,0.0,0.0,1.8638,0.0,0.0,2.7957,1.8638,0.0,0.9319,0.0338,0.0342
seq14,0.8869,2.6608,0.0,0.0,0.0,1.7739,0.0,0.0,0.8869,0.0,0.8869,2.6608,0.8869,0.0,0.8869,5.3216,1.7739,0.0,0.0,0.8869,0.057,0.0561
seq15,2.2957,0.0,0.0,1.5305,0.7652,2.2957,0.0,0.7652,1.5305,1.5305,0.0,0.7652,0.0,0.0,0.7652,0.0,1.5305,0.0,1.5305,0.0,0.0998,0.135
seq16,2.3105,0.0,0.0,1.5403,0.7702,2.3105,0.0,0.7702,1.5403,1.5403,0.0,0.7702,0.7702,0.0,0.7702,0.0,0.7702,0.0,1.5403,0.0,0.1032,0.1266
seq17,2.3155,0.0,0.0,1.5437,0.7718,2.3155,0.0,0.7718,1.5437,0.7718,0.0,0.7718,0.7718,0.0,0.7718,0.0,1.5437,0.0,1.5437,0.0,0.0975,0.1307
