ID,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y
seq0,1.00,0.00,1.00,1.50,1.00,0.00,0.00,1.00,1.00,1.33,1.00,1.00,0.00,1.40,1.00,1.00,1.00,1.00,1.00,1.00, 
seq1,1.00,0.00,1.00,1.50,1.00,1.00,0.00,1.00,1.00,1.33,1.00,1.00,0.00,1.40,0.00,1.00,1.00,1.00,1.00,1.00, 
seq2,1.00,0.00,1.00,1.40,1.00,0.00,0.00,1.00,1.00,1.40,1.00,1.00,0.00,1.33,1.00,0.00,1.00,1.00,1.00,1.00, 
seq3,0.00,1.29,0.00,1.00,0.00,1.00,1.00,1.00,1.25,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00, 
seq4,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.40,1.00,1.50,1.40,0.00,0.00, 
seq5,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,1.00,0.00,1.00,1.40,0.00,1.00, 
seq6,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.67,1.33,0.00,1.00,1.00,0.00,1.67,1.00,1.00,1.00,0.00,1.00, 
seq7,0.00,0.00,0.00,1.62,1.00,0.00,0.00,0.00,1.67,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,2.00,1.00,0.00, 
seq8,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.57,1.00,1.00,1.00,2.00,1.00,0.00, 
seq9,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.40,1.40,1.00,1.00,1.50,0.00,1.40,0.00,0.00,1.00,1.00,1.00,1.00, 
seq10,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.33,1.40,1.00,1.00,1.50,0.00,1.33,0.00,0.00,1.00,1.00,1.00,1.00, 
seq11,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.40,1.00,1.00,1.00,1.33,0.00,1.40,0.00,0.00,1.00,1.00,1.00,1.00, 
seq12,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.40,1.33,1.00,1.00,1.67,0.00,1.44,0.00,0.00,1.00,1.00,1.00,1.00, 
seq13,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00, 
seq14,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,2.67,1.00,0.00,0.00,1.00, 
seq15,1.00,0.00,0.00,1.00,1.00,1.50,0.00,1.00,1.67,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq16,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq17,1.00,0.00,0.00,1.00,1.00,1.50,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq18,1.00,0.00,0.00,1.00,1.00,1.50,0.00,1.00,1.67,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq19,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00, 
