ID,PCP_SS_HE,PCP_SS_ST,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN
seq0,0.657,0.2,0.343,0.514,0.114
seq1,0.571,0.229,0.4,0.486,0.114
seq2,0.686,0.229,0.343,0.543,0.086
seq3,0.389,0.389,0.417,0.389,0.25
seq4,0.367,0.433,0.3,0.267,0.4
seq5,0.4,0.333,0.433,0.4,0.167
seq6,0.433,0.267,0.4,0.233,0.367
seq7,0.73,0.216,0.27,0.568,0.081
seq8,0.514,0.243,0.378,0.378,0.135
seq9,0.514,0.286,0.314,0.571,0.114
seq10,0.429,0.343,0.371,0.486,0.143
seq11,0.389,0.361,0.361,0.444,0.194
seq12,0.514,0.286,0.343,0.571,0.086
seq13,0.45,0.35,0.6,0.1,0.3
seq14,0.182,0.273,0.273,0.227,0.5
seq15,0.5,0.3,0.6,0.25,0.1
seq16,0.5,0.25,0.6,0.3,0.1
seq17,0.45,0.3,0.55,0.3,0.15
seq18,0.5,0.3,0.6,0.25,0.15
seq19,0.45,0.3,0.6,0.3,0.15
seq20,0.5,0.25,0.55,0.3,0.15
seq21,0.5,0.25,0.6,0.3,0.1
seq22,0.45,0.3,0.55,0.3,0.15
seq23,0.45,0.3,0.6,0.25,0.15
seq24,0.45,0.3,0.55,0.3,0.15
seq25,0.5,0.25,0.55,0.3,0.15
seq26,0.45,0.3,0.55,0.3,0.15
seq27,0.45,0.3,0.6,0.25,0.15
seq28,0.45,0.3,0.55,0.3,0.15
seq29,0.55,0.4,0.5,0.2,0.1
seq30,0.45,0.3,0.6,0.25,0.15
seq31,0.5,0.318,0.727,0.0,0.273
seq32,0.65,0.3,0.5,0.3,0.2
seq33,0.35,0.25,0.75,0.2,0.1
seq34,0.45,0.25,0.95,0.05,0.05
seq35,0.45,0.35,0.45,0.45,0.05
seq36,0.591,0.227,0.318,0.409,0.273
seq37,0.5,0.2,0.45,0.3,0.15
seq38,0.3,0.25,0.35,0.3,0.35
seq39,0.55,0.3,0.55,0.25,0.15
seq40,0.4,0.4,0.35,0.25,0.2
seq41,0.636,0.273,0.5,0.136,0.273
seq42,0.583,0.167,0.25,0.333,0.583
seq43,0.591,0.227,0.455,0.273,0.318
seq44,0.533,0.4,0.733,0.133,0.133
seq45,0.389,0.333,0.556,0.278,0.111
seq46,0.389,0.333,0.556,0.278,0.111
seq47,0.389,0.333,0.556,0.278,0.111
seq48,0.25,0.4,0.55,0.25,0.15
seq49,0.25,0.5,0.55,0.25,0.15
seq50,0.278,0.444,0.556,0.278,0.111
seq51,0.278,0.444,0.556,0.278,0.111
seq52,0.278,0.444,0.556,0.278,0.111
seq53,0.278,0.444,0.556,0.278,0.111
seq54,0.222,0.556,0.556,0.222,0.167
seq55,0.222,0.556,0.556,0.222,0.167
seq56,0.167,0.556,0.611,0.222,0.111
seq57,0.333,0.444,0.611,0.222,0.167
seq58,0.222,0.5,0.556,0.222,0.167
seq59,0.222,0.444,0.556,0.333,0.111
seq60,0.389,0.444,0.556,0.167,0.111
seq61,0.389,0.444,0.556,0.167,0.111
seq62,0.472,0.167,0.333,0.472,0.167
seq63,0.267,0.467,0.333,0.333,0.4
seq64,0.226,0.484,0.548,0.194,0.258
seq65,0.167,0.5,0.567,0.2,0.267
seq66,0.333,0.389,0.556,0.111,0.333
seq67,0.143,0.524,0.81,0.095,0.095
seq68,0.15,0.45,0.7,0.3,0.15
seq69,0.583,0.167,0.278,0.528,0.167
seq70,0.833,0.111,0.5,0.472,0.028
seq71,0.7,0.1,0.25,0.5,0.25
seq72,0.243,0.405,0.486,0.243,0.243
seq73,0.222,0.667,0.667,0.0,0.111
seq74,0.333,0.556,0.667,0.0,0.056
seq75,0.556,0.185,0.593,0.185,0.222
seq76,0.481,0.259,0.593,0.222,0.185
seq77,0.55,0.3,0.45,0.4,0.0
seq78,0.5,0.35,0.5,0.35,0.0
seq79,0.333,0.444,0.667,0.167,0.167
seq80,0.167,0.533,0.6,0.2,0.267
seq81,0.2,0.5,0.567,0.233,0.233
seq82,0.103,0.483,0.552,0.207,0.31
seq83,0.15,0.5,0.7,0.25,0.2
seq84,0.611,0.278,0.389,0.389,0.056
seq85,0.179,0.536,0.536,0.179,0.321
seq86,0.529,0.353,0.471,0.353,0.235
seq87,0.471,0.412,0.529,0.294,0.235
seq88,0.222,0.556,0.778,0.0,0.0
seq89,0.194,0.484,0.613,0.226,0.194
seq90,0.067,0.533,0.633,0.167,0.267
seq91,0.444,0.278,0.25,0.472,0.25
seq92,0.625,0.188,0.312,0.375,0.25
