ID,PCP_SS_HE,PCP_SS_ST,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN
seq0,0.417,0.361,0.667,0.25,0.139
seq1,0.45,0.2,0.65,0.15,0.25
seq2,0.462,0.385,0.769,0.077,0.077
seq3,0.565,0.261,0.391,0.261,0.217
seq4,0.643,0.214,0.643,0.286,0.071
seq5,0.491,0.236,0.418,0.436,0.145
seq6,0.347,0.381,0.458,0.322,0.237
seq7,0.556,0.111,0.667,0.185,0.148
seq8,0.577,0.231,0.538,0.269,0.115
seq9,0.8,0.1,0.25,0.45,0.25
seq10,0.583,0.25,0.333,0.458,0.208
seq11,0.571,0.25,0.464,0.321,0.107
seq12,0.209,0.419,0.581,0.279,0.163
seq13,0.481,0.222,0.519,0.222,0.259
seq14,0.521,0.146,0.354,0.312,0.25
seq15,0.214,0.381,0.548,0.19,0.262
seq16,0.351,0.203,0.392,0.419,0.203
seq17,0.576,0.212,0.606,0.273,0.121
seq18,0.545,0.242,0.545,0.273,0.182
seq19,0.486,0.314,0.457,0.143,0.2
seq20,0.342,0.368,0.447,0.184,0.342
seq21,0.615,0.154,0.692,0.077,0.231
seq22,0.4,0.333,0.733,0.2,0.133
seq23,0.368,0.316,0.737,0.263,0.105
seq24,0.444,0.278,0.361,0.417,0.194
seq25,0.768,0.058,0.362,0.565,0.203
seq26,0.559,0.176,0.618,0.265,0.118
seq27,0.567,0.267,0.567,0.233,0.167
seq28,0.323,0.323,0.613,0.29,0.097
seq29,0.5,0.273,0.545,0.409,0.045
seq30,0.457,0.304,0.565,0.326,0.087
seq31,0.692,0.192,0.385,0.462,0.077
seq32,0.39,0.293,0.488,0.341,0.171
seq33,0.636,0.182,0.303,0.242,0.152
seq34,0.346,0.423,0.5,0.077,0.308
seq35,0.292,0.458,0.458,0.333,0.208
seq36,0.182,0.636,0.455,0.182,0.455
seq37,0.586,0.172,0.621,0.31,0.172
seq38,0.286,0.476,0.524,0.167,0.19
seq39,0.737,0.105,0.737,0.211,0.105
seq40,0.277,0.426,0.404,0.298,0.277
seq41,0.389,0.444,0.528,0.194,0.167
seq42,0.3,0.35,0.4,0.3,0.35
seq43,0.778,0.167,0.556,0.333,0.111
seq44,0.462,0.282,0.462,0.308,0.179
seq45,0.465,0.256,0.465,0.395,0.163
seq46,0.474,0.211,0.579,0.289,0.105
seq47,0.45,0.3,0.65,0.15,0.25
seq48,0.5,0.385,0.423,0.308,0.269
seq49,0.45,0.267,0.267,0.55,0.217
seq50,0.538,0.256,0.513,0.359,0.077
seq51,0.273,0.386,0.5,0.25,0.205
seq52,0.405,0.238,0.357,0.429,0.262
seq53,0.27,0.324,0.351,0.459,0.243
seq54,0.31,0.31,0.31,0.405,0.429
