ID,PAAC2_A,PAAC2_C,PAAC2_D,PAAC2_E,PAAC2_F,PAAC2_G,PAAC2_H,PAAC2_I,PAAC2_K,PAAC2_L,PAAC2_M,PAAC2_N,PAAC2_P,PAAC2_Q,PAAC2_R,PAAC2_S,PAAC2_T,PAAC2_V,PAAC2_W,PAAC2_Y,PAAC2_lam1,PAAC2_lam2
seq0,5.0788,0.0,0.0,0.0,0.0,3.3859,0.0,3.3859,5.0788,1.6929,0.0,0.0,1.6929,0.8465,0.0,1.6929,0.8465,6.7718,0.0,0.0,0.0678,0.0857
seq1,1.7604,0.0,0.0,0.0,0.8802,1.7604,0.0,0.8802,1.7604,4.4011,0.0,0.0,0.8802,0.0,0.0,3.5208,0.0,1.7604,0.0,0.0,0.0472,0.0725
seq2,0.0,0.0,0.0,0.0,0.8172,0.8172,0.0,2.4515,0.0,3.2687,0.0,0.0,0.8172,0.0,1.6344,0.0,0.0,0.8172,0.0,0.0,0.0601,0.1227
seq3,0.0,0.0,0.0,1.5317,1.5317,1.5317,0.7659,0.0,2.2976,2.2976,0.7659,0.7659,0.0,0.0,2.2976,0.7659,0.0,1.5317,0.0,1.5317,0.0943,0.1399
seq4,2.3722,0.0,0.0,0.0,0.0,0.7907,0.0,1.5814,2.3722,1.5814,0.7907,0.7907,0.0,0.0,0.0,0.0,0.0,0.0,0.7907,0.0,0.0948,0.1144
seq5,4.0189,0.0,3.2151,3.2151,0.0,4.8227,0.0,3.2151,8.8416,3.2151,0.8038,2.4113,0.8038,0.8038,0.8038,0.8038,2.4113,1.6076,1.6076,1.6076,0.1034,0.0928
seq6,10.275,12.8438,6.85,1.7125,4.2813,7.7063,2.5688,3.425,6.85,5.1375,0.8563,7.7063,4.2813,5.1375,2.5688,0.8563,7.7063,2.5688,0.0,7.7063,0.0714,0.0723
seq7,5.0494,0.0,0.0,0.8416,0.8416,4.2079,0.8416,1.6831,2.5247,3.3663,0.0,0.8416,0.0,0.0,0.0,2.5247,0.0,0.0,0.0,0.0,0.0742,0.0842
seq8,2.254,0.0,0.0,0.0,1.5027,3.0054,0.7513,1.5027,5.2594,1.5027,0.0,0.0,0.0,0.0,1.5027,0.7513,0.0,0.7513,0.0,0.7513,0.1202,0.1285
seq9,1.5633,0.0,0.0,1.5633,0.0,0.0,0.0,0.0,4.69,1.5633,1.5633,0.0,0.0,0.7817,0.7817,1.5633,0.0,0.0,0.7817,0.7817,0.1153,0.10300000000000001
seq10,0.8012,0.0,0.8012,0.8012,0.8012,0.8012,0.0,0.8012,5.6085,1.6024,0.8012,0.0,0.0,1.6024,0.0,1.6024,0.8012,0.8012,0.8012,0.8012,0.1114,0.0874
seq11,1.5279,0.0,0.0,0.764,4.5838,2.2919,0.0,0.0,5.3478,1.5279,0.764,0.764,0.0,0.0,2.2919,0.764,0.0,0.0,0.0,0.764,0.1027,0.1334
seq12,0.8346,3.3383,1.6692,0.0,0.0,8.3458,0.0,2.5037,4.1729,0.8346,0.0,1.6692,0.8346,1.6692,0.0,0.8346,1.6692,3.3383,1.6692,2.5037,0.0885,0.0769
seq13,2.5042,0.0,0.0,0.8347,0.0,4.1737,1.6695,0.8347,2.5042,1.6695,0.8347,0.8347,0.8347,0.0,0.8347,0.8347,1.6695,2.5042,0.0,0.0,0.0729,0.0924
seq14,3.0983,0.0,1.5492,1.5492,1.5492,1.5492,1.5492,0.7746,3.8729,4.6475,0.0,3.0983,1.5492,0.0,4.6475,4.6475,0.7746,0.7746,0.7746,0.7746,0.102,0.1235
seq15,0.0,4.8929,0.0,0.0,0.8155,5.7084,0.0,3.2619,0.8155,0.8155,0.8155,0.8155,4.0774,0.8155,4.0774,3.2619,0.8155,2.4465,0.8155,0.0,0.0913,0.0932
seq16,2.4706,0.0,4.1176,0.8235,1.6471,10.7059,1.6471,2.4706,4.9412,1.6471,0.0,4.9412,4.9412,5.7647,4.1176,2.4706,2.4706,2.4706,2.4706,0.8235,0.0936,0.0829
seq17,4.9301,2.4651,0.0,0.0,1.6434,2.4651,0.0,0.8217,4.9301,4.1084,0.0,0.8217,0.0,1.6434,0.0,2.4651,0.0,0.0,0.0,0.8217,0.0745,0.1038
seq18,5.8233,1.6638,0.8319,0.8319,0.0,1.6638,0.0,1.6638,4.9914,2.4957,0.8319,0.8319,0.0,0.0,0.0,2.4957,1.6638,1.6638,0.0,0.0,0.0705,0.0976
