ID,PAAC1_A,PAAC1_C,PAAC1_D,PAAC1_E,PAAC1_F,PAAC1_G,PAAC1_H,PAAC1_I,PAAC1_K,PAAC1_L,PAAC1_M,PAAC1_N,PAAC1_P,PAAC1_Q,PAAC1_R,PAAC1_S,PAAC1_T,PAAC1_V,PAAC1_W,PAAC1_Y,PAAC1_lam1
seq0,5.5551,0.0,0.0,0.0,0.0,3.7034,0.0,3.7034,5.5551,1.8517,0.0,0.0,1.8517,0.9259,0.0,1.8517,0.9259,7.4068,0.0,0.0,0.0741
seq1,1.8981,0.0,0.0,0.0,0.9491,1.8981,0.0,0.9491,1.8981,4.7453,0.0,0.0,0.9491,0.0,0.0,3.7962,0.0,1.8981,0.0,0.0,0.0509
seq2,0.0,0.0,0.0,0.0,0.9315,0.9315,0.0,2.7944,0.0,3.7258,0.0,0.0,0.9315,0.0,1.8629,0.0,0.0,0.9315,0.0,0.0,0.0685
seq3,0.0,0.0,0.0,1.7808,1.7808,1.7808,0.8904,0.0,2.6711,2.6711,0.8904,0.8904,0.0,0.0,2.6711,0.8904,0.0,1.7808,0.0,1.7808,0.1096
seq4,2.6787,0.0,0.0,0.0,0.0,0.8929,0.0,1.7858,2.6787,1.7858,0.8929,0.8929,0.0,0.0,0.0,0.0,0.0,0.0,0.8929,0.0,0.1071
seq5,4.4301,0.0,3.544,3.544,0.0,5.3161,0.0,3.544,9.7461,3.544,0.886,2.658,0.886,0.886,0.886,0.886,2.658,1.772,1.772,1.772,0.114
seq6,11.0762,13.8453,7.3841,1.846,4.6151,8.3072,2.7691,3.6921,7.3841,5.5381,0.923,8.3072,4.6151,5.5381,2.7691,0.923,8.3072,2.7691,0.0,8.3072,0.077
seq7,5.5136,0.0,0.0,0.9189,0.9189,4.5947,0.9189,1.8379,2.7568,3.6758,0.0,0.9189,0.0,0.0,0.0,2.7568,0.0,0.0,0.0,0.0,0.0811
seq8,2.5863,0.0,0.0,0.0,1.7242,3.4483,0.8621,1.7242,6.0346,1.7242,0.0,0.0,0.0,0.0,1.7242,0.8621,0.0,0.8621,0.0,0.8621,0.1379
seq9,1.7429,0.0,0.0,1.7429,0.0,0.0,0.0,0.0,5.2286,1.7429,1.7429,0.0,0.0,0.8714,0.8714,1.7429,0.0,0.0,0.8714,0.8714,0.1286
seq10,0.8779,0.0,0.8779,0.8779,0.8779,0.8779,0.0,0.8779,6.1455,1.7559,0.8779,0.0,0.0,1.7559,0.0,1.7559,0.8779,0.8779,0.8779,0.8779,0.1221
seq11,1.7631,0.0,0.0,0.8815,5.2892,2.6446,0.0,0.0,6.1708,1.7631,0.8815,0.8815,0.0,0.0,2.6446,0.8815,0.0,0.0,0.0,0.8815,0.1185
seq12,0.9041,3.6163,1.8082,0.0,0.0,9.0408,0.0,2.7123,4.5204,0.9041,0.0,1.8082,0.9041,1.8082,0.0,0.9041,1.8082,3.6163,1.8082,2.7123,0.0959
seq13,2.7591,0.0,0.0,0.9197,0.0,4.5986,1.8394,0.9197,2.7591,1.8394,0.9197,0.9197,0.9197,0.0,0.9197,0.9197,1.8394,2.7591,0.0,0.0,0.0803
seq14,3.5347,0.0,1.7674,1.7674,1.7674,1.7674,1.7674,0.8837,4.4184,5.3021,0.0,3.5347,1.7674,0.0,5.3021,5.3021,0.8837,0.8837,0.8837,0.8837,0.1163
seq15,0.0,5.3957,0.0,0.0,0.8993,6.2949,0.0,3.5971,0.8993,0.8993,0.8993,0.8993,4.4964,0.8993,4.4964,3.5971,0.8993,2.6978,0.8993,0.0,0.1007
seq16,2.6938,0.0,4.4896,0.8979,1.7959,11.6731,1.7959,2.6938,5.3876,1.7959,0.0,5.3876,5.3876,6.2855,4.4896,2.6938,2.6938,2.6938,2.6938,0.8979,0.1021
seq17,5.5011,2.7506,0.0,0.0,1.8337,2.7506,0.0,0.9169,5.5011,4.5843,0.0,0.9169,0.0,1.8337,0.0,2.7506,0.0,0.0,0.0,0.9169,0.0831
seq18,6.4528,1.8437,0.9218,0.9218,0.0,1.8437,0.0,1.8437,5.531,2.7655,0.9218,0.9218,0.0,0.0,0.0,2.7655,1.8437,1.8437,0.0,0.0,0.0782
seq19,0.0,5.3074,0.8846,0.8846,0.0,3.5383,0.8846,0.0,1.7691,4.4228,0.8846,0.8846,0.0,0.0,6.192,0.8846,1.7691,0.8846,0.0,1.7691,0.1154
seq20,0.0,5.5131,0.9188,0.0,0.9188,5.5131,1.8377,0.9188,0.9188,2.7565,0.9188,0.0,1.8377,2.7565,2.7565,1.8377,3.6754,0.0,0.0,1.8377,0.0812
seq21,0.9253,0.0,0.0,0.0,1.8505,0.0,0.0,0.0,0.0,5.5516,0.0,0.0,0.9253,0.0,0.9253,1.8505,0.0,0.0,0.0,0.0,0.0747
seq22,0.0,0.0,0.0,0.0,0.9268,2.7804,0.0,2.7804,1.8536,3.7072,0.0,0.0,0.9268,0.0,0.0,0.0,0.9268,0.0,0.0,0.0,0.0732
seq23,0.0,0.0,0.0,0.0,0.9363,2.809,0.0,2.809,1.8727,4.6817,0.0,0.9363,1.8727,0.0,0.0,0.0,0.0,1.8727,0.0,0.0,0.0637
seq24,1.794,0.0,3.5881,0.0,0.897,0.897,0.897,3.5881,4.4851,1.794,0.897,1.794,0.0,3.5881,0.897,2.691,0.897,0.897,1.794,0.897,0.10300000000000001
seq25,21.1447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.58,0.0,0.0,0.0,8.274,0.0,0.0,2.758,1.8387,1.8387,0.0,0.0,0.0807
seq26,7.3512,1.8378,0.0,0.0,1.8378,3.6756,0.0,0.0,4.5945,3.6756,0.0,1.8378,0.0,1.8378,0.0,2.7567,0.0,0.9189,0.0,0.9189,0.0811
seq27,5.4953,1.8318,0.9159,0.9159,0.0,1.8318,0.9159,0.9159,3.6635,3.6635,0.0,0.9159,0.0,0.0,0.9159,0.9159,2.7477,1.8318,0.0,0.0,0.0841
seq28,1.7942,1.7942,0.8971,0.8971,0.8971,4.4855,0.0,2.6913,3.5884,1.7942,0.0,1.7942,0.8971,0.0,0.8971,1.7942,0.0,2.6913,0.8971,0.0,0.1029
seq29,0.9038,0.0,0.0,3.6151,0.0,2.7113,0.0,0.9038,3.6151,1.8075,0.0,0.9038,0.0,0.0,0.0,0.9038,0.0,3.6151,0.9038,0.0,0.0962
seq30,2.6676,1.7784,0.8892,2.6676,1.7784,6.2245,0.0,6.2245,8.8921,3.5568,0.0,0.8892,0.0,0.0,0.8892,1.7784,1.7784,0.8892,0.0,0.0,0.1108
seq31,0.9075,0.9075,1.8151,0.9075,0.0,0.0,1.8151,0.9075,7.2603,3.6301,0.0,0.9075,0.0,0.0,1.8151,0.0,0.0,2.7226,0.0,0.0,0.0925
seq32,3.6474,0.0,1.8237,0.0,0.0,2.7356,0.0,3.6474,5.4711,2.7356,0.0,2.7356,0.9119,1.8237,0.9119,3.6474,1.8237,3.6474,1.8237,0.0,0.0881
seq33,0.0,3.4994,0.0,3.4994,0.0,3.4994,0.8748,0.0,0.0,0.8748,0.8748,0.0,0.8748,2.6245,9.6233,0.8748,0.8748,0.0,0.8748,0.0,0.1252
seq34,1.8042,4.5104,0.0,0.0,0.9021,3.6084,1.8042,0.0,0.0,0.0,0.9021,0.9021,0.0,0.9021,2.7063,0.9021,0.9021,0.9021,0.0,2.7063,0.0979
seq35,0.9426,4.7132,0.0,0.9426,0.0,2.8279,0.0,0.9426,1.8853,0.0,0.0,1.8853,0.0,2.8279,0.0,0.9426,1.8853,0.9426,0.0,1.8853,0.0574
seq36,0.0,1.8477,0.0,0.0,0.9238,0.0,0.0,1.8477,0.0,0.0,0.9238,0.0,1.8477,0.0,0.9238,0.0,0.9238,0.0,0.0,0.9238,0.0762
seq37,6.4218,0.0,0.0,0.0,0.0,1.8348,0.0,3.6696,5.5044,3.6696,0.0,0.0,2.7522,0.0,0.0,1.8348,0.0,0.9174,0.0,0.0,0.0826
seq38,0.0,5.2397,0.0,0.0,1.7466,5.2397,0.8733,2.6199,0.8733,0.0,0.0,0.8733,2.6199,1.7466,6.9863,0.0,2.6199,3.4932,0.8733,0.8733,0.1267
seq39,8.5707,0.0,0.0,0.0,0.9523,0.9523,0.0,0.0,0.0,1.9046,0.0,0.0,0.9523,2.8569,0.0,0.9523,0.0,0.9523,0.0,0.0,0.0477
seq40,1.8127,7.2507,1.8127,0.9063,0.0,1.8127,0.0,3.6254,4.5317,0.9063,0.0,2.719,2.719,0.0,3.6254,3.6254,3.6254,0.9063,0.9063,1.8127,0.0937
seq41,3.6011,5.4016,0.9003,0.0,3.6011,0.9003,0.9003,0.9003,0.9003,0.0,0.0,0.9003,0.0,3.6011,3.6011,2.7008,0.9003,1.8005,0.9003,0.9003,0.0997
seq42,0.8979,0.0,0.0,1.7958,0.0,1.7958,0.0,0.8979,0.0,0.0,0.8979,0.8979,1.7958,0.8979,0.8979,1.7958,0.0,1.7958,1.7958,1.7958,0.1021
seq43,3.6231,0.0,0.0,0.9058,0.9058,0.9058,0.0,0.9058,2.7173,2.7173,0.9058,0.0,0.0,1.8115,0.0,0.0,0.9058,0.0,0.0,0.0,0.0942
seq44,4.5055,0.0,0.9011,0.9011,0.9011,3.6044,2.7033,3.6044,6.3077,0.0,0.0,2.7033,0.0,0.0,1.8022,1.8022,0.9011,3.6044,0.0,0.9011,0.0989
seq45,3.6085,0.0,0.9021,0.0,0.9021,4.5106,1.8042,7.217,9.0212,0.9021,0.0,1.8042,1.8042,1.8042,0.9021,1.8042,0.9021,0.9021,0.0,0.0,0.0979
seq46,2.7554,0.0,0.0,0.9185,0.0,9.1847,0.9185,3.6739,4.5923,2.7554,0.0,0.9185,0.0,3.6739,0.9185,0.9185,0.9185,1.8369,0.0,0.9185,0.0815
seq47,3.749,0.0,0.0,0.0,1.8745,0.9373,1.8745,2.8118,0.9373,1.8745,0.0,0.9373,0.9373,0.0,0.0,1.8745,0.0,0.9373,0.0,0.0,0.0627
seq48,1.8164,1.8164,0.0,0.9082,0.0,0.0,0.0,2.7246,2.7246,2.7246,0.9082,0.9082,0.9082,1.8164,0.9082,0.9082,2.7246,0.0,0.9082,0.9082,0.0918
seq49,1.8382,0.0,2.7573,7.3529,2.7573,0.9191,0.0,3.6764,7.3529,3.6764,0.0,6.4338,1.8382,4.5955,0.0,3.6764,4.5955,1.8382,0.0,1.8382,0.0809
