ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
seq0,5.81,0.00,0.00,0.00,0.00,11.45,0.00,9.58,7.16,21.66,0.00,0.00,11.31,28.69,0.00,22.23,28.69,4.34,0.00,0.00
seq1,7.68,0.00,0.00,0.00,18.05,8.63,0.00,9.65,13.68,5.81,0.00,0.00,11.05,0.00,0.00,3.65,0.00,6.42,0.00,0.00
seq2,0.00,0.00,0.00,0.00,11.08,8.00,0.00,3.45,0.00,5.10,0.00,0.00,5.54,0.00,5.42,0.00,0.00,6.15,0.00,0.00
seq3,0.00,0.00,0.00,7.50,16.59,10.23,17.57,0.00,9.24,8.19,13.65,11.30,0.00,0.00,6.48,11.91,0.00,10.05,0.00,7.86
seq4,4.42,0.00,0.00,0.00,0.00,6.93,0.00,6.15,4.08,11.08,6.36,10.36,0.00,0.00,0.00,0.00,0.00,0.00,8.93,0.00
seq5,12.90,0.00,11.75,15.87,0.00,12.18,0.00,17.98,9.02,13.60,30.91,13.85,34.69,51.09,35.82,27.82,18.91,31.43,24.39,33.06
seq6,20.07,9.88,23.62,55.45,34.55,19.57,56.20,35.46,21.39,24.81,102.96,24.48,22.99,52.11,36.18,67.36,20.65,47.84,0.00,21.35
seq7,3.14,0.00,0.00,18.52,21.48,5.22,19.93,17.35,7.28,5.04,0.00,25.04,0.00,0.00,0.00,10.16,0.00,0.00,0.00,0.00
seq8,8.46,0.00,0.00,0.00,11.84,8.17,24.04,8.24,3.75,16.40,0.00,0.00,0.00,0.00,9.20,12.50,0.00,14.35,0.00,12.96
seq9,10.21,0.00,0.00,7.37,0.00,0.00,0.00,0.00,2.67,6.11,6.00,0.00,0.00,14.65,16.25,13.68,0.00,0.00,16.25,9.25
seq10,18.54,0.00,17.04,11.21,22.04,11.54,0.00,12.71,3.39,9.65,12.04,0.00,0.00,10.26,0.00,12.70,14.54,14.54,15.71,12.04
seq11,9.93,0.00,0.00,16.04,4.70,10.81,0.00,0.00,4.14,19.93,18.18,18.18,0.00,0.00,13.88,13.18,0.00,0.00,0.00,15.18
seq12,20.51,11.68,14.50,0.00,0.00,6.44,0.00,17.22,18.67,26.14,0.00,25.36,32.42,15.93,0.00,25.16,20.12,10.22,19.17,28.68
seq13,9.20,0.00,0.00,21.48,0.00,6.70,11.42,14.37,12.72,13.88,15.19,13.70,13.19,0.00,12.52,25.04,17.35,8.64,0.00,0.00
seq14,11.24,0.00,34.60,32.98,23.70,22.77,30.85,23.85,10.07,8.88,0.00,14.36,22.94,0.00,7.95,12.74,38.85,46.02,23.52,24.77
seq15,0.00,6.54,0.00,0.00,25.26,8.64,0.00,11.13,31.45,30.02,20.60,24.31,8.03,21.45,7.03,26.62,23.45,10.62,40.02,0.00
seq16,29.71,0.00,21.33,36.01,29.92,7.02,33.89,26.07,17.42,39.53,0.00,10.61,21.48,21.51,20.30,40.12,28.04,23.18,21.96,68.18
seq17,6.96,16.71,0.00,0.00,15.91,8.39,0.00,22.85,4.82,9.93,0.00,15.58,0.00,15.09,0.00,20.58,0.00,0.00,0.00,18.48
seq18,6.15,21.91,20.42,15.58,0.00,15.41,0.00,24.66,4.82,15.16,27.39,17.03,0.00,0.00,0.00,12.45,18.09,18.91,0.00,0.00
seq19,0.00,6.83,29.37,16.57,0.00,7.72,21.14,0.00,10.85,17.61,16.57,16.74,0.00,0.00,6.21,20.17,15.32,26.17,0.00,16.03
seq20,0.00,6.30,26.24,0.00,34.13,11.21,18.86,18.13,24.97,16.42,23.82,0.00,16.92,15.53,12.47,15.62,12.46,0.00,0.00,18.86
seq21,5.69,0.00,0.00,0.00,5.42,0.00,0.00,0.00,0.00,1.88,0.00,0.00,8.00,0.00,8.00,4.08,0.00,0.00,0.00,0.00
seq22,0.00,0.00,0.00,0.00,13.07,3.38,0.00,2.92,6.07,2.58,0.00,0.00,9.87,0.00,0.00,0.00,7.73,0.00,0.00,0.00
seq23,0.00,0.00,0.00,0.00,17.05,6.00,0.00,4.12,8.28,3.20,0.00,10.21,8.72,0.00,0.00,0.00,0.00,7.72,0.00,0.00
seq24,12.23,0.00,8.24,0.00,17.36,19.36,27.14,15.76,8.91,16.74,23.14,14.11,0.00,10.67,19.36,16.26,32.14,17.14,13.14,28.69
seq25,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.67,0.00,0.00,0.00,6.95,0.00,0.00,19.61,23.07,33.25,0.00,0.00
seq26,5.70,21.27,0.00,0.00,24.06,9.23,0.00,0.00,5.43,7.94,0.00,27.39,0.00,17.70,0.00,14.03,0.00,16.03,0.00,17.79
seq27,5.28,19.10,21.37,14.17,0.00,16.90,17.77,24.43,5.78,6.96,0.00,24.43,0.00,0.00,15.37,26.17,8.96,13.03,0.00,0.00
seq28,11.50,17.10,15.10,23.81,15.10,8.81,0.00,10.55,5.96,11.57,0.00,16.37,29.03,0.00,16.84,14.03,0.00,9.17,25.42,0.00
seq29,10.23,0.00,0.00,3.79,0.00,10.45,0.00,12.77,8.53,8.67,0.00,10.05,0.00,0.00,0.00,11.14,0.00,4.63,16.59,0.00
seq30,16.25,34.36,28.80,18.43,35.73,7.22,0.00,9.28,8.54,12.05,0.00,33.85,0.00,0.00,25.15,25.82,15.33,29.93,0.00,0.00
seq31,13.58,13.58,19.52,12.19,0.00,0.00,16.64,22.19,4.53,7.22,0.00,24.04,0.00,0.00,11.52,0.00,0.00,10.04,0.00,0.00
seq32,14.34,0.00,16.62,0.00,0.00,17.33,0.00,13.13,5.75,12.77,0.00,11.03,33.61,17.23,19.95,12.76,17.23,8.39,12.72,0.00
seq33,0.00,7.97,0.00,6.90,0.00,11.70,15.76,0.00,0.00,17.03,20.42,0.00,15.76,7.94,7.30,29.15,17.03,0.00,16.06,0.00
seq34,19.52,5.86,0.00,0.00,14.35,7.39,17.84,0.00,0.00,0.00,16.35,13.58,0.00,15.27,7.71,14.35,17.58,13.58,0.00,10.88
seq35,11.21,5.45,0.00,14.54,0.00,8.41,0.00,18.54,7.83,0.00,0.00,12.70,0.00,8.59,0.00,12.71,12.00,13.54,0.00,11.30
seq36,0.00,5.10,0.00,0.00,9.09,0.00,0.00,3.30,0.00,0.00,5.27,0.00,3.50,0.00,6.18,0.00,6.18,0.00,0.00,9.09
seq37,3.65,0.00,0.00,0.00,0.00,11.32,0.00,8.42,4.88,6.58,0.00,0.00,8.74,0.00,0.00,22.46,0.00,14.14,0.00,0.00
seq38,0.00,6.54,0.00,0.00,13.46,7.57,31.45,10.22,31.45,0.00,0.00,32.98,12.28,20.73,5.71,0.00,11.62,11.64,40.02,24.31
seq39,2.00,0.00,0.00,0.00,13.68,15.26,0.00,0.00,0.00,8.28,0.00,0.00,9.47,7.41,0.00,8.53,0.00,10.21,0.00,0.00
seq40,16.28,6.42,23.72,22.55,0.00,15.89,0.00,14.43,20.51,24.04,0.00,25.20,18.18,0.00,14.39,13.89,12.34,25.96,33.40,24.11
seq41,9.64,6.84,19.36,0.00,9.21,34.03,17.69,17.14,24.36,0.00,0.00,30.36,0.00,8.67,13.39,8.44,21.03,27.60,23.14,17.03
seq42,18.05,0.00,0.00,15.26,0.00,8.95,0.00,14.65,0.00,0.00,10.25,10.25,7.68,11.05,13.25,8.53,0.00,6.42,13.58,8.95
seq43,3.60,0.00,0.00,8.72,9.39,16.06,0.00,9.39,5.44,7.06,8.06,0.00,0.00,7.88,0.00,0.00,14.28,0.00,0.00,0.00
seq44,8.29,0.00,22.67,25.90,18.72,15.97,20.81,7.69,8.91,0.00,0.00,24.70,0.00,0.00,34.13,16.87,20.36,10.81,0.00,24.72
seq45,10.03,0.00,23.49,0.00,28.37,15.13,22.69,6.64,11.15,20.93,0.00,19.26,25.45,14.88,20.70,18.12,21.67,33.95,0.00,0.00
seq46,11.75,0.00,0.00,26.24,0.00,6.00,27.61,10.34,16.85,11.92,0.00,32.34,0.00,21.66,34.13,29.08,20.24,23.41,0.00,24.97
